Player Name,Player Id,URL,Market Value,Age,Position
Agustín Rossi,352324,https://www.transfermarkt.com.br/agustin-rossi/profil/spieler/352324,"7,00 mi. €",29,Goalkeepers
Léo Jardim,288415,https://www.transfermarkt.com.br/leo-jardim/profil/spieler/288415,"5,50 mi. €",29,Goalkeepers
Hugo Souza,574901,https://www.transfermarkt.com.br/hugo-souza/profil/spieler/574901,"4,00 mi. €",25,Goalkeepers
Cleiton,468247,https://www.transfermarkt.com.br/cleiton/profil/spieler/468247,"4,00 mi. €",27,Goalkeepers
Sergio Rochet,264014,https://www.transfermarkt.com.br/sergio-rochet/profil/spieler/264014,"3,50 mi. €",31,Goalkeepers
John Victor,432914,https://www.transfermarkt.com.br/john-victor/profil/spieler/432914,"3,50 mi. €",28,Goalkeepers
Matheus Cunha,876739,https://www.transfermarkt.com.br/matheus-cunha/profil/spieler/876739,"3,00 mi. €",23,Goalkeepers
Matheus Donelli,708723,https://www.transfermarkt.com.br/matheus-donelli/profil/spieler/708723,"2,00 mi. €",22,Goalkeepers
Weverton,69400,https://www.transfermarkt.com.br/weverton/profil/spieler/69400,"2,00 mi. €",36,Goalkeepers
Marcos Felipe,283166,https://www.transfermarkt.com.br/marcos-felipe/profil/spieler/283166,"2,00 mi. €",28,Goalkeepers
Everson,106032,https://www.transfermarkt.com.br/everson/profil/spieler/106032,"1,80 mi. €",34,Goalkeepers
Brenno,555016,https://www.transfermarkt.com.br/brenno/profil/spieler/555016,"1,70 mi. €",25,Goalkeepers
Gabriel Grando,878037,https://www.transfermarkt.com.br/gabriel-grando/profil/spieler/878037,"1,70 mi. €",24,Goalkeepers
Adriel,808445,https://www.transfermarkt.com.br/adriel/profil/spieler/808445,"1,50 mi. €",23,Goalkeepers
Lucão,412372,https://www.transfermarkt.com.br/lucao/profil/spieler/412372,"1,50 mi. €",23,Goalkeepers
Ivan,364257,https://www.transfermarkt.com.br/ivan/profil/spieler/364257,"1,50 mi. €",27,Goalkeepers
Caíque,384159,https://www.transfermarkt.com.br/caique/profil/spieler/384159,"1,50 mi. €",27,Goalkeepers
Mycael,743586,https://www.transfermarkt.com.br/mycael/profil/spieler/743586,"1,50 mi. €",20,Goalkeepers
Keiller,417084,https://www.transfermarkt.com.br/keiller/profil/spieler/417084,"1,30 mi. €",28,Goalkeepers
Ronaldo,387925,https://www.transfermarkt.com.br/ronaldo/profil/spieler/387925,"1,20 mi. €",28,Goalkeepers
Gabriel,79242,https://www.transfermarkt.com.br/gabriel/profil/spieler/79242,"1,00 mi. €",32,Goalkeepers
Santos,140811,https://www.transfermarkt.com.br/santos/profil/spieler/140811,"1,00 mi. €",34,Goalkeepers
Lucas Arcanjo,645602,https://www.transfermarkt.com.br/lucas-arcanjo/profil/spieler/645602,"1,00 mi. €",26,Goalkeepers
Léo Linck,742034,https://www.transfermarkt.com.br/leo-linck/profil/spieler/742034,"1,00 mi. €",23,Goalkeepers
Anthoni,869437,https://www.transfermarkt.com.br/anthoni/profil/spieler/869437,800 mil €,22,Goalkeepers
Agustín Marchesín,54534,https://www.transfermarkt.com.br/agustin-marchesin/profil/spieler/54534,800 mil €,36,Goalkeepers
Rafael,68097,https://www.transfermarkt.com.br/rafael/profil/spieler/68097,800 mil €,35,Goalkeepers
Pedro Rangel,841263,https://www.transfermarkt.com.br/pedro-rangel/profil/spieler/841263,600 mil €,24,Goalkeepers
Mateus Claus,733453,https://www.transfermarkt.com.br/mateus-claus/profil/spieler/733453,500 mil €,30,Goalkeepers
Matheus Teixeira,598975,https://www.transfermarkt.com.br/matheus-teixeira/profil/spieler/598975,500 mil €,25,Goalkeepers
Anderson,598974,https://www.transfermarkt.com.br/anderson/profil/spieler/598974,500 mil €,26,Goalkeepers
Gustavo,667411,https://www.transfermarkt.com.br/gustavo/profil/spieler/667411,450 mil €,31,Goalkeepers
Jandrei,512344,https://www.transfermarkt.com.br/jandrei/profil/spieler/512344,400 mil €,31,Goalkeepers
Rafael Cabral,103916,https://www.transfermarkt.com.br/rafael-cabral/profil/spieler/103916,400 mil €,34,Goalkeepers
Vitor Eudes,590039,https://www.transfermarkt.com.br/vitor-eudes/profil/spieler/590039,400 mil €,26,Goalkeepers
Cássio,50144,https://www.transfermarkt.com.br/cassio/profil/spieler/50144,400 mil €,37,Goalkeepers
Mauricio Kozlinski,438431,https://www.transfermarkt.com.br/mauricio-kozlinski/profil/spieler/438431,350 mil €,33,Goalkeepers
João Ricardo,270420,https://www.transfermarkt.com.br/joao-ricardo/profil/spieler/270420,350 mil €,36,Goalkeepers
Magrão,818068,https://www.transfermarkt.com.br/magrao/profil/spieler/818068,300 mil €,24,Goalkeepers
Matheus Mendes,629077,https://www.transfermarkt.com.br/matheus-mendes/profil/spieler/629077,300 mil €,25,Goalkeepers
