Player,Player Id,Season,Date,Home-Game,Minutes Played,Home Game
Agustín Rossi,352324,2023,2024-04-10,1,90,Home
Agustín Rossi,352324,2023,2024-04-24,0,90,Away
Agustín Rossi,352324,2023,2024-05-07,0,90,Away
Agustín Rossi,352324,2023,2024-05-15,1,90,Home
Agustín Rossi,352324,2023,2024-05-28,1,90,Home
Agustín Rossi,352324,2023,2024-08-15,1,90,Home
Agustín Rossi,352324,2023,2024-08-22,0,90,Away
Agustín Rossi,352324,2023,2024-09-19,1,90,Home
Agustín Rossi,352324,2023,2024-09-26,0,90,Away
Agustín Rossi,352324,2023,2024-04-17,1,90,Home
Agustín Rossi,352324,2023,2024-04-21,0,90,Away
Agustín Rossi,352324,2023,2024-04-28,1,90,Home
Agustín Rossi,352324,2023,2024-05-04,0,90,Away
Agustín Rossi,352324,2023,2024-05-11,1,90,Home
Agustín Rossi,352324,2023,2024-06-02,0,90,Away
Agustín Rossi,352324,2023,2024-06-13,1,90,Home
Agustín Rossi,352324,2023,2024-06-16,0,90,Away
Agustín Rossi,352324,2023,2024-06-20,1,90,Home
Agustín Rossi,352324,2023,2024-06-23,0,90,Away
Agustín Rossi,352324,2023,2024-06-26,0,90,Away
Agustín Rossi,352324,2023,2024-06-30,1,90,Home
Agustín Rossi,352324,2023,2024-07-03,0,90,Away
Agustín Rossi,352324,2023,2024-07-06,1,90,Home
Agustín Rossi,352324,2023,2024-07-11,1,90,Home
Agustín Rossi,352324,2023,2024-07-20,1,90,Home
Agustín Rossi,352324,2023,2024-07-24,0,90,Away
Agustín Rossi,352324,2023,2024-08-03,0,90,Away
Agustín Rossi,352324,2023,2024-08-11,1,90,Home
Agustín Rossi,352324,2023,2024-08-18,0,90,Away
Agustín Rossi,352324,2023,2024-08-25,1,90,Home
Agustín Rossi,352324,2023,2024-09-01,0,90,Away
Agustín Rossi,352324,2023,2024-09-15,1,90,Home
Agustín Rossi,352324,2023,2024-09-29,1,90,Home
Agustín Rossi,352324,2023,2024-10-05,0,90,Away
Agustín Rossi,352324,2023,2024-10-17,1,90,Home
Agustín Rossi,352324,2023,2024-10-26,1,90,Home
Agustín Rossi,352324,2023,2024-10-30,0,90,Away
Agustín Rossi,352324,2023,2024-11-06,0,90,Away
Agustín Rossi,352324,2023,2024-11-13,1,90,Home
Agustín Rossi,352324,2023,2024-11-20,0,90,Away
Agustín Rossi,352324,2023,2024-11-26,0,90,Away
Agustín Rossi,352324,2023,2024-12-01,1,90,Home
Agustín Rossi,352324,2023,2024-10-02,1,90,Home
Agustín Rossi,352324,2023,2024-10-20,0,90,Away
Agustín Rossi,352324,2023,2024-11-03,1,90,Home
Agustín Rossi,352324,2023,2024-11-10,0,90,Away
Agustín Rossi,352324,2023,2024-03-16,1,90,Home
Agustín Rossi,352324,2023,2024-03-30,0,90,Away
Agustín Rossi,352324,2023,2024-04-07,1,90,Home
Agustín Rossi,352324,2023,2024-01-31,0,90,Away
Agustín Rossi,352324,2023,2024-02-04,0,90,Away
Agustín Rossi,352324,2023,2024-02-07,1,90,Home
Agustín Rossi,352324,2023,2024-02-15,0,90,Away
Agustín Rossi,352324,2023,2024-02-20,1,90,Home
Agustín Rossi,352324,2023,2024-02-25,1,90,Home
Agustín Rossi,352324,2023,2024-03-02,1,90,Home
Agustín Rossi,352324,2022,2023-09-20,0,90,Away
Agustín Rossi,352324,2022,2023-09-30,1,90,Home
Agustín Rossi,352324,2022,2023-10-07,0,90,Away
Agustín Rossi,352324,2022,2023-10-19,0,90,Away
Agustín Rossi,352324,2022,2023-10-22,1,90,Home
Agustín Rossi,352324,2022,2023-10-25,0,90,Away
Agustín Rossi,352324,2022,2023-11-01,1,90,Home
Agustín Rossi,352324,2022,2023-11-05,0,90,Away
Agustín Rossi,352324,2022,2023-11-08,1,90,Home
Agustín Rossi,352324,2022,2023-11-11,1,90,Home
Agustín Rossi,352324,2022,2023-11-23,1,90,Home
Agustín Rossi,352324,2022,2023-11-26,0,90,Away
Agustín Rossi,352324,2022,2023-11-29,1,90,Home
Agustín Rossi,352324,2022,2023-12-03,1,90,Home
Agustín Rossi,352324,2022,2023-12-06,0,90,Away
Agustín Rossi,352324,2022,2023-04-04,0,1,Away
Agustín Rossi,352324,2022,2023-05-08,1,90,Home
Agustín Rossi,352324,2022,2023-05-16,0,90,Away
Agustín Rossi,352324,2022,2023-05-23,1,90,Home
Agustín Rossi,352324,2022,2023-05-27,0,90,Away
Agustín Rossi,352324,2022,2023-05-31,1,90,Home
Agustín Rossi,352324,2022,2023-09-24,0,90,Away
Agustín Rossi,352324,2021,2022-04-12,1,45,Home
Agustín Rossi,352324,2021,2022-05-04,0,90,Away
Agustín Rossi,352324,2021,2022-05-17,1,90,Home
Agustín Rossi,352324,2021,2022-05-26,1,90,Home
Agustín Rossi,352324,2021,2022-06-28,0,90,Away
Agustín Rossi,352324,2021,2022-07-05,1,90,Home
Agustín Rossi,352324,2021,2022-06-12,0,90,Away
Agustín Rossi,352324,2021,2022-06-15,1,90,Home
Agustín Rossi,352324,2021,2022-06-19,0,90,Away
Agustín Rossi,352324,2021,2022-07-09,0,90,Away
Agustín Rossi,352324,2021,2022-07-16,1,90,Home
Agustín Rossi,352324,2021,2022-07-19,0,90,Away
Agustín Rossi,352324,2021,2022-07-24,1,90,Home
Agustín Rossi,352324,2021,2022-07-31,0,90,Away
