Model,Metric,Mean Score,Std Dev
Random Forest Regressor,MAE,24.5336144749811,1.4000180980282222
Random Forest Regressor,MSE,1656.175661992959,277.05982888783814
Random Forest Regressor,RMSE,40.550264477524806,3.4426316671623436
Random Forest Regressor,MAPE,166.39999807698018,30.815374534445656
Random Forest Regressor,R²,0.408869930082023,0.11042556062701632
Random Forest Regressor,Explained Variance,0.4104379050472701,0.10949774653056364
Ridge Regression,MAE,29.27780752979304,1.1106268194499997
Ridge Regression,MSE,1990.7750695443842,227.1537598624577
Ridge Regression,RMSE,44.54319770942227,2.5843001690405343
Ridge Regression,MAPE,199.45065913827466,40.851267598920884
Ridge Regression,R²,0.2883501496090938,0.09868662564903298
Ridge Regression,Explained Variance,0.28951343957187026,0.09891489972672843
Lasso Regression,MAE,29.083472315238122,1.0622459575988459
Lasso Regression,MSE,1995.333428402122,228.96328667566982
Lasso Regression,RMSE,44.59377543161692,2.593958588073846
Lasso Regression,MAPE,195.8232223375076,36.841706506192814
Lasso Regression,R²,0.288651106790976,0.08485399121924245
Lasso Regression,Explained Variance,0.2898650750162518,0.08526034039810723
