Split,MAE,MSE,RMSE,R²,Explained Variance
1,25.296292613647374,1625.8760227739454,40.32215300270988,0.3087336783890279,0.3166501899911406
2,26.065723393934103,1625.1935409837067,40.313689250473054,0.34628920995360124,0.34967581163253736
3,25.825117891940504,1628.1806480742844,40.35072053971632,0.40072366717326213,0.40125139465776716
4,27.787044653445967,2029.462608543469,45.04955725135896,0.4477261640172837,0.4497237527086604
5,25.761927545382306,1796.6499663903594,42.386907959774085,0.45961766113945024,0.4600656338168807
6,29.250099415347595,2082.230189313741,45.631460521374294,0.3777390530914413,0.3785099800471199
7,25.627416676724803,1705.4373862514778,41.296941608931256,0.4236439201160075,0.4238591641208689
8,23.67388321554988,1349.048410543235,36.729394366681774,0.4528911023193901,0.4529817840152699
9,26.924134899061247,1735.688365605471,41.661593411744,0.5433905508169246,0.5442920519718268
10,23.644273519293762,1225.067838591528,35.00096910931936,0.5470959036600531,0.5505400006878761
11,22.48812477535692,1203.2380197868,34.68772145567939,0.4566258646822574,0.45787516652533555
12,24.432657571793282,1643.238388494579,40.536876896161836,0.39635347477980787,0.39897496376735364
13,28.264115918208773,2126.3179544399,46.11201529362927,0.46813052258954213,0.47593501134573546
14,23.251699772097393,1257.1666721881038,35.456546252957345,0.3430209847316651,0.34634112307819664
15,24.954427747532584,1511.7118966318185,38.88073940438657,-0.0778489685801611,-0.04109990888331816
16,26.437015763381243,1858.804473848668,43.11385477835017,0.3313828854750328,0.33674767723893584
17,24.411258634497567,1317.4564530758994,36.29678295766581,0.46682296012896773,0.49474395868634646
18,27.920875766297197,1825.7089576681756,42.72831564276991,0.41468704990046523,0.4203289554645563
19,22.98465420357897,1481.0139897712018,38.48394457135601,0.5125098098642684,0.5126722646671195
20,25.39863333791429,1764.5932052120527,42.00706137320311,0.44423761844560594,0.4499618712973362
21,23.91318762652432,1214.4633522417482,34.84915138481493,0.5505668588628783,0.5540975658863341
22,26.30877598089741,1810.001451920074,42.5441118360705,0.39848688766363827,0.39902699153080123
23,26.245148233820856,1946.903682691562,44.12373151368277,0.3499948926141647,0.3501416006010265
24,30.050087949220085,2387.506398541664,48.86211618976059,0.11735570376436777,0.1305382555866501
25,25.554938799009633,1519.7614038425631,38.98411732799094,0.4433585790969059,0.4464884512756373
26,30.710727421960748,2578.916576263604,50.7830343349391,0.26563952577494876,0.26587286049712155
27,32.88705228109115,2799.273278088044,52.9081588990587,0.3711039063919318,0.378609597591849
28,24.635689898152993,1378.8748083802013,37.13320358358811,-0.25827064494579366,-0.2226794125646272
29,28.523758131683127,2037.6078475675279,45.1398698222262,0.47552074617999296,0.4784608135454651
30,22.418208080098676,1350.5172225076533,36.74938397453287,0.41779617786980117,0.42354484744684917
