Random State,Best Parameters,MAE,MSE,RMSE,R²,Explained Variance
0,"{'n_estimators': 550, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",25.078249524725717,1587.031749361947,39.83756706127957,0.32524892163085306,0.3339425923292827
1,"{'n_estimators': 500, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",25.06880623916234,1621.8514374389702,40.27221669388178,0.34763352316525986,0.34852675144499323
2,"{'n_estimators': 550, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",24.553972983806318,1612.9990752564233,40.16215974342544,0.4063114729831335,0.4072112082067626
3,"{'n_estimators': 525, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}",27.683138028596073,2152.985713212349,46.40027708120232,0.4141120542717798,0.41710557273616755
4,"{'n_estimators': 525, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 40, 'bootstrap': True}",26.051279961094583,1817.318255012,42.63001589270171,0.453401214778423,0.45368523483562395
5,"{'n_estimators': 525, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",29.611133570888676,2147.396849512938,46.34001348201075,0.35826442060818775,0.3584137479049493
6,"{'n_estimators': 500, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",25.407746443192668,1698.9088523838718,41.2178220237784,0.42585025159299816,0.4261602957046572
7,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 40, 'bootstrap': False}",22.239826818096667,1299.9261974300148,36.05448928261243,0.47281270013453724,0.47290997706471893
8,"{'n_estimators': 600, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",27.11284532200927,1710.4505084292857,41.35759311697534,0.5500299016889685,0.5505674470617016
9,"{'n_estimators': 500, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40, 'bootstrap': True}",23.58328393801965,1193.0774837209615,34.540953717593865,0.5589226468883348,0.5609162488973922
10,"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40, 'bootstrap': True}",22.7014291637122,1250.3348456978636,35.360074175514164,0.4353572572789034,0.4360374927222248
11,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 40, 'bootstrap': False}",23.524665824614445,1636.6177451826645,40.455132494934,0.39878557979752294,0.403906956358396
12,"{'n_estimators': 600, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",28.840759282270806,2231.70839039086,47.240960938478594,0.44176854037693225,0.4521316067154222
13,"{'n_estimators': 550, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",23.255734920470793,1247.9908582529927,35.32691407769709,0.34781614621401835,0.3515526227714154
14,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40, 'bootstrap': True}",25.40003968253968,1634.1119447212427,40.424150513291465,-0.16512007220863234,-0.12739499799804
